"Long","Lat"
"-73.658012","45.560117"
"-73.606157","45.565622"
"-73.595497","45.573629"
"-73.591594","45.571789"
"-73.583718","45.580887"
"-73.58479","45.581108"
"-73.593951","45.581977"
"-73.597258","45.586301"
"-73.594698","45.586277"
"-73.591751","45.584427"
"-73.581929","45.583688"
"-73.582978","45.591761"
"-73.572417","45.58637"
"-73.576545","45.548618"
"-73.575793","45.549635"
"-73.555466","45.555723"
"-73.559981","45.557796"
"-73.548035","45.5618"
"-73.572742","45.533306"
"-73.569411","45.527463"
"-73.565406","45.523178"
"-73.661586","45.428035"
"-73.628857","45.422101"
"-73.595626","45.466411"
"-73.593837","45.444463"
"-73.568675","45.507611"
"-73.562268","45.496201"
"-73.564251","45.497983"
"-73.554137","45.494949"
"-73.601034","45.499434"
"-73.599067","45.499362"
"-73.592694","45.502214"
"-73.592265","45.502875"
"-73.592188","45.510428"
"-73.596768","45.517631"
"-73.598177","45.517427"
"-73.597746","45.518155"
"-73.597502","45.518431"
"-73.607903","45.521568"
"-73.608515","45.521327"
"-73.608895","45.520574"
"-73.61061","45.518745"
"-73.609987","45.520155"
"-73.61171","45.523098"
"-73.611438","45.523352"
"-73.613942","45.522562"
"-73.616611","45.522711"
"-73.612387","45.538534"
"-73.612031","45.540268"
"-73.602481","45.536881"
"-73.604654","45.53741"
"-73.600682","45.53587"
"-73.60028","45.535662"
"-73.598043","45.531259"
"-73.600353","45.527436"
